N11,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1
N12,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2
N13,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2
N14,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1
N21,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2
N22,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2
N23,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1
N24,2,2,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,2
N31,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1
N32,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1
N33,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1
N34,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1
N41,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1
N42,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1
N43,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2
N44,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1
TRS,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
VTS,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ATS,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
NTS,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
